,Rndrng_NPI,Tot_Benes,Tot_Mdcr_Stdzd_Amt,Benef_Labels,Payment_Labels,Label3,Rndrng_Prvdr_Type
0,1013191105,4532,488548.88,BeneficiarySegment1,PaymentSegment1,2,Interventional Cardiology
65,1013309459,434,580101.1200000001,BeneficiarySegment5,PaymentSegment1,2,Ambulatory Surgical Center
85,1013918903,6501,435312.3800000001,BeneficiarySegment1,PaymentSegment1,2,Cardiology
132,1013951698,2839,429185.75999999983,BeneficiarySegment2,PaymentSegment1,2,Ophthalmology
150,1013930189,1610,650638.3099999997,BeneficiarySegment3,PaymentSegment1,2,Cardiology
195,1013944859,2995,454815.9199999999,BeneficiarySegment2,PaymentSegment1,2,Orthopedic Surgery
212,1003889379,1772,556652.8,BeneficiarySegment3,PaymentSegment1,2,Ambulatory Surgical Center
220,1003899824,216,402616.01999999996,BeneficiarySegment5,PaymentSegment1,2,Ambulance Service Provider
222,1003951724,4364,567238.92,BeneficiarySegment2,PaymentSegment1,2,Orthopedic Surgery
243,1003899501,247,458287.44999999995,BeneficiarySegment5,PaymentSegment1,2,Ambulance Service Provider
245,1013184423,1824,406105.06,BeneficiarySegment3,PaymentSegment1,2,Radiation Oncology
275,1003103474,540,611362.9600000001,BeneficiarySegment4,PaymentSegment1,2,Ambulatory Surgical Center
291,1003923814,5429,413241.88,BeneficiarySegment1,PaymentSegment1,2,Pulmonary Disease
343,1013471754,86,439537.83999999997,BeneficiarySegment5,PaymentSegment1,2,Ambulatory Surgical Center
348,1023009594,997,469226.63,BeneficiarySegment4,PaymentSegment1,2,Independent Diagnostic Testing Facility (IDTF)
351,1003016916,3320,426137.54000000004,BeneficiarySegment2,PaymentSegment1,2,Ophthalmology
370,1003887225,2036,625153.6499999999,BeneficiarySegment3,PaymentSegment1,2,Ambulatory Surgical Center
383,1023011970,4108,633027.5800000002,BeneficiarySegment2,PaymentSegment1,2,Cardiology
414,1013990811,2912,406471.62999999995,BeneficiarySegment2,PaymentSegment1,2,Orthopedic Surgery
444,1003875873,895,467875.72000000003,BeneficiarySegment4,PaymentSegment1,2,Ambulatory Surgical Center
452,1013901586,5064,535959.24,BeneficiarySegment1,PaymentSegment1,2,Diagnostic Radiology
495,1013987544,4217,417166.33999999997,BeneficiarySegment2,PaymentSegment1,2,Cardiology
