Rndrng_NPI,Tot_Benes,Avg_Mdcr_Stdzd_Amt,Tot_Mdcr_Stdzd_Amt,Labels
1003001462,636,1417.7292181690002,901675.78,3
1003011941,497,3778.793391364,1878060.32,3
1003015207,183,386.373421376,70706.34,0
1003019571,455,530.569630898,241409.18,0
1003027582,1213,2926.4495603689998,3549783.32,3
1003027764,747,906.3216579636,677022.28,0
1003031212,12090,7962.1878688993,96262851.33,2
1003034760,159,1125.6362711860002,178976.17,0
1003043548,606,1843.521290512,1117173.9,3
1003043704,388,576.0015574424,223488.6,0
1003051871,633,325.560185369,206079.6,0
1003055302,968,973.8149544559999,942652.88,0
1003058900,154,1453.1415004809999,223783.79,0
1003067455,374,497.7849644540001,186171.58,0
1003068347,426,1574.1363357530001,670582.08,3
1003070004,509,604.831212129,307859.09,0
1003072893,2096,6948.801200480998,14564687.32,1
1003073438,966,1905.5550658260001,1840766.19,3
1003075490,283,881.934585915,249587.49,0
1003079138,1226,2649.506652814,3248295.16,3
1003079997,1633,5011.5524260341,8183865.11,1
1003080854,421,831.202266333,349936.15,0
1003087768,494,721.114951408,356230.79,0
1003088634,673,1431.1664722680002,963175.04,3
1003089814,2202,1677.7042136281,3694304.68,3
1003099813,1219,1623.5865461258002,1979152.0,3
1003101429,2784,5473.3818832722,15237895.16,1
1003102617,899,2032.406887618,1827133.79,3
1003103532,268,579.691206633,155357.24,0
1003106220,329,666.4587124300001,219264.92,0
1003108259,345,1051.155339877,362648.59,0
1003112434,113,358.45474513000005,40505.39,0
1003115700,64,251.819879518,16116.47,0
1003127366,56,285.07371406699997,15964.13,0
1003128703,7881,6227.066376427401,49075510.11,2
1003128810,322,850.40418815,273830.15,0
1003129958,275,288.37905056600005,79304.24,0
1003131012,582,2922.8218877961,1701082.34,3
1003131558,627,2019.399024756,1266163.19,3
1003131640,1092,981.658171582,1071970.72,0
1003132077,12,139.80166667,1677.62,0
1003134586,31,195.92604651,6073.71,0
1003135310,141,1114.619296253,157161.32,0
1003135500,740,1805.427397909,1336016.27,3
1003136151,121,1250.0189215,151252.29,0
1003136458,1071,4849.0502083917,5193332.77,1
1003138868,256,868.3399262329999,222295.02,0
1003164427,150,343.166759995,51475.01,0
1003166109,252,747.550073578,188382.62,0
1003171778,1910,5941.480697065399,11348228.13,1
1003179045,151,706.420942569,106669.56,0
1003179243,581,1463.0883743299999,850054.35,3
1003179581,102,471.739463364,48117.43,0
1003182106,3032,5408.5885554174,16398840.5,1
1003206392,201,834.8193205130002,167798.68,0
1003221763,411,1877.4592750489999,771635.76,3
1003226861,16,134.21,2147.36,0
1003228545,26,168.39999999999998,4378.4,0
1003235110,72,373.628909094,26901.28,0
1003255993,187,776.0213751339999,145116.0,0
1003256553,65,417.61,27144.65,0
1003256645,154,551.13284336,84874.46,0
1003257957,49,97.172678572,4761.46,0
1003258583,293,363.314469205,106451.14,0
1003278243,11,151.73,1669.03,0
1003299942,93,232.163281577,21591.19,0
1003800400,1068,7200.88880446,7690549.24,1
1003801283,457,1633.322207908,746428.25,3
1003801689,123,416.14725597399996,51186.11,0
1003803685,1082,695.661472306,752705.71,0
1003804204,3298,5383.9839780379,17756379.16,1
1003804485,3255,7022.218401211301,22857320.9,1
1003805375,998,2501.9742034296996,2496970.26,3
1003807355,4793,1254.2225522624,6011488.69,4
1003807645,10344,8902.3561913047,92085972.44,2
